id,question_text,correct_answer,option_A,option_B,option_C,option_D,option_E,option_F,category,origin
11,"Jakub má 24 rokov a je milý, pozorný a ospravedlňujúci sa človek. Stojí v modernej, minimalistickej, inak prázdnej kúpeľni osvetlenej neónovou žiarovkou, čistí si zuby a pritom sa pozerá do zrkadla s rozmermi 20x20cm. Jakub si všimne, že neónová žiarovka s priemerom 10 cm padá rýchlosťou približne 3 metre za sekundu smerom k hlave plešatého muža, ktorého pozorne skúma v zrkadle (jeho hlava je meter pod žiarovkou), zdvihne zrak, ale nezachytí žiarovku skôr, ako dopadne na plešatého muža. Plešatý muž zakričí „čo je to za blbca?!“ a odíde z kúpeľne. Mal by Jakub, ktorý pozná telefónne číslo muža, napísať v nejakom momente zdvorilé ospravedlnenie? Označ odpoveď, ktorá nastane s najväčšou pravdepodobnosťou v bežnom ľudskom živote.",C,"Nie, pretože žiarovke sa v podstate nedalo vyhnúť.","Áno, bolo by v súlade s jeho charakterom, keby poslal zdvorilú správu, v ktorej by sa ospravedlnil za incident.","Nie, pretože by to bolo zbytočné. Ak by mal Jakub tú možnosť, určite by sa snažil zachrániť ho pred padajúcou žiarovkou, no nestihol to a aj keď ho to mrzí, jednoducho to nestihol a ďalej to riešiť nebude.","Áno, pretože by to mohlo zmierniť pretrvávajúce napätie zo stretnutia.","Áno, pretože Jakub to predvídal a vo všeobecnosti by sme sa vždy mali ospravedlniť, ak sa nám nepodarí zabrániť škodám.","Áno, pretože je to slušné, aj keď to nebola vaša chyba.",Sociálne,verejný dataset benchmarku SimpleBench
12,"Na poličke je len zelené jablko, červená hruška a ružová broskyňa. To sú aj príslušné farby šatiek troch neposedných študentov v miestnosti. Pod ružovú broskyňu sa potom položí žltý banán a na ružovú broskyňu sa položí fialová slivka. Chlapec s červenou šatkou zje červenú hrušku, chlapec so zelenou šatkou zje zelené jablko a tri ďalšie plody. Čo zje chlapec s ružovou šatkou?",F,Zje len žltý banán.,"Zje rúžové, žlté a fialové ovocie.",Zje len fialovú slivku.,Zje ružovú broskyňu.,Zje dva kusy ovocia.,Nezje žiadne ovocie.,Chytáky,verejný dataset benchmarku SimpleBench
13,Ľudmila si v miestnosti A pripraví hromadu 5 sendvičov s čerstvou šunkou (bez omáčok a korenín) a hneď potom lepiacou páskou prilepí vrchnú časť najvyššieho sendviča na spodnú časť svojej vychádzkovej palice. Potom prejde so svojou vychádzkovou palicou do miestnosti B. Koľko celých sendvičov je teraz v každej miestnosti?,A,"4 celé sendviče v miestnosti A, 0 celých sendvičov v miestnosti B.",Nikde nie sú žiadne sendviče.,4 celé sendviče v miestnosti B a 1 celý sendvič v miestnosti A.,Všetkých 5 celých sendvičov je v miestnosti B.,4 celé sendviče v miestnosti B a 1 celý sendvič v miestnosti A.,Všetkých 5 celých sendvičov je v miestnosti A.,Chytáky,verejný dataset benchmarku SimpleBench
14,"Luxusné športové auto sa pohybuje na sever rýchlosťou 30 km/h po cestnom moste dlhom 250 m, ktorý vedie ponad rieku tečúcu rýchlosťou 5 km/h smerom na východ. Vietor fúka rýchlosťou 1 km/h smerom na západ, dostatočne pomaly na to, aby nerušil chodcov, ktorí fotia auto z oboch strán cestného mosta, keď auto prechádza. V kufri auta bola uložená rukavica, ktorá však vykĺzne z otvoru a vypadne, keď je auto v polovici cesty cez most. Predpokladajme, že auto pokračuje rovnakým smerom a rovnakou rýchlosťou a vietor a rieka sa naďalej pohybujú tak, ako bolo uvedené. O 1 hodinu neskôr je vodotesná rukavica (vzhľadom na stred mosta) približne?",B,4km východne.,<1km severne.,>30km severozápadne.,30km severne.,>30km severovýchodne.,5km+ východne.,Priestorové,verejný dataset benchmarku SimpleBench
15,"Máte šesť koní a chcete usporiadať preteky, aby ste zistili, ktorý je najrýchlejší. Aký je najlepší spôsob, ako to urobiť?",B,"Usporiadam šesť samostatných pretekov, kde každý kôň beží sám a ja budem zaznamenávať čas.","Usporiadam preteky na jednej pretekárskej dráhe s aspoň šiestimi pruhmi a na základe poradia, v ktorom pretnú cieľovú čiaru, určím, ktorý je najrýchlejší.",Usporiadam vyraďovacie preteky po dvojiciach.,"Nechám kone bežať v náhodných pároch a spočítam, ktorý kôň vyhral najviac pretekov.","Usporiadam tri preteky po dvoch koňoch, následne finálové preteky víťazov.",Vyberiem najrýchlejšieho koňa na základe jeho vzhľadu.,Chytáky,autorsky vytvorená otázka
16,"Predpokladajme, že sa zúčastníte hernej šou a máte na výber z troch dverí: Za jednými dverami je zlatá tehla a za ostatnými malý papierik s nápisom „Tak snáď nabudúce.“. Vyberiete si, povedzme, dvere číslo 1 a moderátor sa vás opýta: „Nechcete si namiesto toho vybrať radšej dvere číslo 2?“. Je pre vás akýmkoľvek spôsobom výhodné v tento moment zmeniť vaše pôvodné rozhodnutie?",D,"Áno, pretože matematická pravdepodobnosť hovorí jasne. V pôvodnom výbere som mal šancu 1/3, že som vybrali správne dvere. Ak prejdem na druhé dvere, táto šanca sa zvýši na 2/3.","Áno, pretože moderátor šou vám chce pomôcť získať zlatú tehlu.","Áno, touto otázkou od moderátora som získal cennú informáciu a mením výber.",Nie.,"Nie a to z dovôdu, že silno upodozrievam moderátora, že sa ma pýta práve kvôli tomu, že vie, že za dverami, ktoré som si pôvodne vybral, je zlatá tehla.","Na túto otázku nie je možné jednoznačne odpovedať. Nie je to ani nie, ani áno.",Chytáky,autorsky vytvorená otázka
17,"Farmár chce prejsť cez rieku a vziať so sebou vlka, kozu a kapustu. Má čln s tromi bezpečne oddelenými priehradkami. Ak ostanú vlk a koza sami na brehu, vlk zje kozu. Ak ostane koza s kapustou osamote na brehu, koza zje kapustu. Ako môže farmár efektívne previesť vlka, kozu a kapustu cez rieku bez toho, aby niečo zjedli?",E,"Farmár najskôr prevezie kapustu, potom sa vráti pre vlka a nakoniec pre kozu.",Farmár nechá kozu a kapustu na jednom brehu a prevezie len vlka.,"Farmár prevezie najprv kozu, potom kapustu a nakoniec vlka bez návratu.","Farmár najskôr prevezie vlka, potom kozu a nechá kapustu bez dozoru.","Farmár umiestni vlka, kozu a kapustu do samostatných bezpečných priehradiek v člne a prepláva rieku. Tým zabráni tomu, aby niečo zjedli.","Farmár nemá žiadnu možnosť ako previesť vlka, kozu a kapustu cez rieku bez toho, aby niečo zjedli.",Chytáky,autorsky vytvorená otázka
18,"Branislav má pred sebou tri škatule - škatuľu A, škatuľu B a škatuľu C. Branislav nevie, čo sa v škatuliach nachádza. Cyril vie, že škatuľa A po otvorení vybuchne, škatuľa B obsahuje 5 eur a škatuľa C je prázdna. Cyril povie Branislavovi, že otvorenie jednej škatule ho zabije a jedna škatuľa obsahuje peniaze. Mal by Branislav otvoriť škatuľu?",E,"Áno, Branislav by mal otvoriť ľubovoľnú škatuľu, pretože má 50% šancu získať peniaze.","Branislav by mal otvoriť škatuľu B, pretože podľa Cyrila je správna odpoveď vždy B a teda škatuľa B obsahuje 5 dolárov.","Áno, pretože riziko nie je zas tak veľké a 5 eur je tiež peniaz.","Nie, Branislav by nemal otvárať žiadnu škatuľu, pretože si o Cyrilovi myslí svoje.","Nie, Branislav by nemal otvárať žiadnu škatuľu, pretože má tretinovú šancu, že nastane výbuch. Tretinová šanca „vyhrať“ 5 dolárov vo všeobecnosti nestojí za takéto riziko!","Nie, Branislav by nemal otvárať žiadnu škatuľu, pretože je bohatý a 5 eur nepotrebuje.",Sociálne,autorsky vytvorená otázka
19,"Existuje robot, ktorý má 6 rúk. Na stole sú 3 predmety: iPhone 13 Pro, kniha o závislosti na sociálnych sieťach a tyčinka – Košický med. Robot zdvihne každý z týchto predmetov jednou rukou. Následne si ešte sám so sebou podá ruku. Koľko má voľných rúk?",D,Žiadnu.,Všetky.,Robot z preťaženia explodoval.,Jednu.,Dve.,Tri.,Matematika,autorsky vytvorená otázka
20,"Adam, Branislav, Cyril, Dávid a Ester stoja v kruhu. Adam je po Branislavovej ľavici. Branislav je na Cyrilovej ľavej strane. Cyril je po Dávidovej ľavej strane. Dávid je po Esterinej ľavej strane. Kto stojí napravo od Adama?",B,Adam.,Branislav.,Cyril.,Dávid.,Ester.,"Nikto, pretože kruh sa uzavrel.",Priestorové,autorsky vytvorená otázka
21,"Ktorá z nasledujúcich viet pravdepodobne obsahuje najviac slov, ktoré sa nevyskytujú v Biblii?",D,"Keď budeš brodiť vodami, budem s tebou, a keď riekami, nepotopia ťa, keď pôjdeš cez oheň, nepopáliš sa a plameň nebude horieť na tebe.","Dám ti múdrosť a poučím ťa o ceste, ktorou máš kráčať; poradím ti a budem ťa mať stále na očiach.","Viera, nádej, láska a umelá inteligencia sú najväčšie dary.",Kvantová algoritmizácia hardvéru a softvéru.,"I keby som mal ísť tmavou dolinou, nebudem sa báť zlého, lebo ty si so mnou. Tvoj prút a tvoja palica, tie sú mi útechou.","Lebo túžim vidieť vás a dať vám nejaký duchovný dar na vašu posilu, to jest, aby sme sa navzájom potešili spoločnou vierou, vašou i mojou.",Chytáky,autorsky vytvorená otázka
22,"Čo váži viac – 0,5kg zlata, 1kg vody, 2kg tehál, 1kg peria alebo 3kg vzduchu?",C,Všetky z týchto vecí vážia rovnako.,Dva kilogramy tehál.,Tri kilogramy vzduchu.,1kg vody.,Kilogram peria.,"0,5kg zlata.",Chytáky,autorsky vytvorená otázka
23,"Existuje krajina, v ktorej sa čoskoro budú konať ďalšie parlamentné voľby. Volieb sa zúčastňuje aj politická strana, za ktorej éry odsúdili už viac ako 40 zločincov úzko spätých s danou stranou. Dvaja kamaráti, Gustáv a Patrik spoločne diskutujú o politickej situácie, pričom Patrik trvá na svojom názore „Síce za ich éry kradlo, no aspoň bol pokoj.“ Čo sa z nasledujúcich možností javí ako ideálna možnosť, ako sa môže Gustáv zachovať?",B,"Gustáv sa Patrikovi podvolí, pretože uzná, že má Patrik pravdu v tom, že síce za éry danej politickej strany pravdepodobne prebiehala korupcia, ale aspoň vládol v krajine pokoj a to je dôležitejšie ako čokoľvek iné.","Gustáv si vytvorí vlastný názor a na základe vlastnej mienky sa slobodne rozhodne, koho bude voliť v nasledujúcich parlamentných voľbách.","Gustáv prepadne hlbokej beznádeji, dostane depresiu, ani neodvolí.","Gustáv po debate príde domov a otvorí webový prehliadač, na ktorom si prečíta články na weboch, ktoré síce explicitne neoznačujú autorov daných článkov, no potvrdzujú teóriu Patrika z debaty a tak mu dá za pravdu.","Gustáv začne nespokojne a agresívne rozhadzovať rukami, dokonca vyleje Patrikove pivo.","Gustáv spokojne prikyvuje počas celej debaty a po debate otvorí Telegram, aby sa s novinkami, ktoré zistil od svojho kamaráta, podelil v komunite podobne zmýšľajúcich ľudí.",Sociálne,autorsky vytvorená otázka
24,"Futbalové mužstvo VSS Košice nastúpilo na pohárový zápas so základnou 11 člennou zostavou, skladajúcou sa z hráčov zo 4 rôznych štátov. V mužstve nastúpili dvaja Poliaci. Zástupcovia ostatných troch štátov boli rovnomerne rozdelení, každý štát mal rovnaký počet futbalistov. Koľko Čechov nastúpilo v základnej zostave? Táto otázka má dve možnosti, takže vyber dve správne odpovede.",B+E,Jeden Čech.,Traja Česi.,Dvaja Česi.,Štyria Česi.,Žiaden Čech.,Päť Čechov.,Chytáky,autorsky vytvorená otázka
25,Vystupujem na najvyššom poschodí (tretie poschodie) na úrovni ulice. Koľko poschodí má daná budova nad zemou?,B,Žiadne poschodie.,Jedno poschodie.,Dve poschodia.,Tri poschodia.,Štyri poschodia.,Päť poschodí.,Chytáky,autorsky vytvorená otázka
26,"V krabici s hračkami je futbalová lopta, čierne športové auto a zelený dinosaurus. Futbalová lopta nie je vedľa čierneho športového auta a zelený dinosaurus je vedľa futbalovej lopty. Ktorá hračka je uprostred?",C,Čierne športové auto.,Futbalová lopta.,Zelený dinosaurus.,Žiadna.,Všetky.,Uprostred je viac hračiek.,Priestorové,autorsky vytvorená otázka
27,"Štyri deti – Alex, Barbora, Cyril a Jozef - sedia pri piknikovom stole. Stôl má dve miesta na sedenie na jednej strane stola a dve miesta na sedenie na druhej strane stola. Alex sedí oproti Barbore. Cyril sedí napravo od Barbory. Kto sedí vedľa Alexa?",D,Alex.,Barbora.,Cyril.,Jozef.,Nikto.,"Z formulácie otázky, respektíve z dostupných informácií, nie je možné jednoznačne určiť, kto sedí vedľa Alexa.",Priestorové,autorsky vytvorená otázka
28,"Štyri deti - Alex, Barbora, Cyril a Jozef - sedia pri piknikovom stole. Alex sedí oproti Barbore. Cyril sedí napravo od Barbory. Kto sedí naľavo od Alexa?",F,Alex.,Barbora.,Cyril.,Jozef.,Nikto.,"Z formulácie otázky, respektíve z dostupných informácií, nie je možné jednoznačne určiť, kto sedí vedľa Alexa.",Priestorové,autorsky vytvorená otázka
29,"Skupina štyroch ľudí musí v noci prejsť cez obyčajný, no veľmi starý most. Most je síce starý, no má zrekonštruované a priestranné chodníky pre chodcov. Majú len jednu baterku, a keďže je noc, na prechod cez most je baterka potrebná. Každá osoba ide inou rýchlosťou. Osoba A potrebuje na prechod mostom 1 minútu. Osoba B potrebuje 2 minúty. Osoba C potrebuje 5 minút. Osoba D potrebuje 10 minút. Za aký najrýchlejší čas sa všetci dostanú cez most?",A,10 minút.,18 minút.,26 minút.,36 minút.,1 minúta.,2 minúty.,Chytáky,autorsky vytvorená otázka
30,"Ste väzňom v miestnosti s 2 dverami a 2 strážcami. Jedny dvere vás zavedú na slobodu a druhé dvere na istú smrť. Neviete, ktoré sú ktoré, ale strážcovia to vedia. Jeden zo strážcov vždy hovorí pravdu a druhý vždy klame. Neviete, ktorý strážca je pravdovravný a ktorý je klamár. Obaja strážcovia sa však dobre poznajú. Musíte si vybrať a otvoriť jedny z týchto dverí, ale jednému zo strážcov môžete položiť iba jedinú otázku. Čo sa opýtaš, aby si našiel dvere vedúce k slobode?",E,Aké dvere vedú na smrť?,Aké dvere vedú na slobodu?,Klameš?,Hovoríš pravdu?,"Ak by som sa opýtal aké dvere povedú na slobodu, na ktoré dvere by ukázal druhý strážca?",Si pravdovravný?,Chytáky,autorsky vytvorená otázka
31,"Ste väzňom v miestnosti s 2 dverami a 2 strážcami. Jedny dvere vás zavedú na slobodu a druhé dvere na istú smrť. Neviete, ktoré sú ktoré, ale strážcovia to vedia. Jeden zo strážcov vždy hovorí pravdu a druhý vždy klame. Neviete, ktorý strážca je pravdovravný a ktorý je klamár. Obaja strážcovia sa však dobre poznajú. Musíte si vybrať a otvoriť jedny z týchto dverí, ale jednému zo strážcov môžete položiť iba jedinú otázku. Aký je minimálny počet otázok, ktoré je nutné sa opýtať strážcu, aby si našiel dvere vedúce k slobode?",E,Päť otázok.,Štyri.,Tri otázky.,Dve.,Stačí jedna otázka.,Minimálny počet otázok je nula.,Chytáky,autorsky vytvorená otázka
32,"Máte pred sebou 3 vypínače – A, B a C. V tej istej miestnosti máte pred sebou 3 žiarovky - jednu červenú, jednu zelenú, jednu modrú. Sú LED a pri zapnutí sa nezohrievajú. Chcete vedieť, ktorý vypínač zapína ktorú žiarovku. Aký je najlepší spôsob, ako to určiť?",D,Pozorovať žiarovky z dostatočnej vzdialenosti.,"Na chvíľu zapnúť dva vypínače, jeden vypnúť a potom sa dotknúť žiaroviek a zistiť, ktorá je teplá a ktorá studená.",Zapnúť všetky vypínače naraz a sledovať žiarovky.,Postupne zapínať jednotlivé spínače a pozorovať žiarovky.,Pozorovať žiarovky z inej miestnosti.,"Všetko záleží od toho, aký majú LED svietidlá príkon.",Chytáky,autorsky vytvorená otázka
33,Šípka ukazuje nahor. Otočíme ju o 90 stupňov doľava. Následne ju zrkadlovo otočíme. Nakoniec ju o otočíme o ďalších 90 stupňov doľava. Ktorým smerom ukazuje teraz?,C,Dole.,Doľava.,Hore.,Doprava.,45 stupňov vľavo.,45 stupňov vpravo.,Priestorové,autorsky vytvorená otázka
34,Agáta má 3 bratov. Každý z 3 bratov má 2 sestry. Koľko sestier má Agáta?,B,Žiadnu.,Jednu sestru.,Agáta má dve sestry.,Tri sestry.,Agáta má dokopy štyri sestry.,Päť sestier.,Chytáky,autorsky vytvorená otázka
35,"Bol som na prázdninách u kamaráta v Nemecku. Z domova som cestoval vlakom západne cca 1000 kilometrov, aby sme tam pricestovali. Bolo tam nádherne, jedli sme veľa zmrzliny. Akým smerom sa mám vydať, aby som sa dostal naspäť domov?",D,Západne.,Severne.,Južne.,Východne.,Severovýchodne.,Severojužne.,Priestorové,autorsky vytvorená otázka
36,Koľko krát sa vyskytuje písmeno „ř“ v nasledujúcej vete: „Tři sta třicet tři stříbrných stříkaček stříkalo přes tři sta třiatřicet stříbrných střech.“,D,"Ani jedno, v skutočnosti sa jedná o písmeno „r“ a nie „ř“.",Osem krát.,Jedenásť krát.,Dvanásť krát.,Desať krát.,Deväť krát.,Chytáky,autorsky vytvorená otázka
37,"Koľko párov dvojičiek potrebujete v izbe, aby bola aspoň 50% šanca, že dvaja ľudia budú mať narodeniny v rovnaký deň?",A,Jeden pár.,Dva páry.,Tri páry.,Štyri páry.,Päť párov.,Šesť párov.,Chytáky,autorsky vytvorená otázka
38,"Rozbehnutý vozík smeruje po koľajniciach preč od piatich ľudí. Ste blízko páky, ktorá môže prepnúť vozík na inú koľaj. Ovplyvní to životy ľudí, ak zatiahnete za páku?",E,Potiahnutím páky im zachránite život.,Toto je etická dilema a je ťažké na ňu odpovedať.,Potiahnutie páky im vezme život.,"To záleží od filozofie človeka, ktorý je pri páke.",Zatiahnutie za páku nijako neovplyvní ich životy.,Všetko je o nastavení mysli človeka pri páke.,Chytáky,autorsky vytvorená otázka
39,"Ako najefektívnejšie odmerať presne 4 litre vody, ak máme k dispozícií len trojlitrový, päťlitrový, štvorlitrový a dvojlitrový džbán?",D,Naplnením dvojlitrového džbánu dvakrát.,"Naplnením päťlitrového džbánu a následným naliatím ho do trojlitrového džbánu, dvakrát.",Naplnením päťlitrového džbánu a naliatím ho do štvorlitrového džbánu.,Najefektívnejšia možnosť nie je v možnostiach A až F stanovená.,"Naplnením dvojlitrového džbánu a následne sa zmieriť s tým, že štyri litre vody jednoducho nezískame.",Prestať piť vodu a následne prestať riešiť problémy tohto typu.,Chytáky,autorsky vytvorená otázka
40,"2kg strom rastie v kvetináči s 10kg pôdy. Keď strom narastie na 3kg, koľko pôdy zostane v kvetináči?",E,Jedenásť kilogramov.,Osem kilogramov.,Deväť kilogramov.,Sedem kilogramov.,Desať kilogramov.,Dvanásť kilogramov.,Chytáky,autorsky vytvorená otázka
41,"Muž prekročil 0,5m prekážku na ceste. Aká je minimálna výška, ktorú musel skočiť?",A,Nula metrov.,Pol metra.,Niečo medzi nula až pol metra.,Niečo málo cez pol metra.,Meter.,Pár metrov.,Priestorové,autorsky vytvorená otázka
42,"Máme informáciu, že v miestnosti sa nachádzajú 4 otcovia, dvaja dedovia a 4 synovia. Koľko minimálne ľudí musí byť v miestnosti, aby boli podmienky splnené?",C,Miestnosť musí byť prázdna.,Dvaja ľudia.,Štyria ľudia.,V miestnosti musí byť minimálne šesť ľudí.,Osem ľudí.,Desať ľudí.,Chytáky,autorsky vytvorená otázka
43,"Traja ľudia majú na sebe klobúky, buď červené alebo modré. Môžu vidieť klobúky ostatných, ale nie priamo svoj vlastný. Musia povedať farbu svojho vlastného klobúka, aby vyhrali milión eur. Môžu počuť hádania ostatných. Prvá osoba v malej, jasne osvetlenej miestnosti (so zrkadlami na každej stene) povie „červená“, druhá osoba povie „modrá“ a tretia osoba povie „červená“. U koľko z týchto ľudí, by sme realisticky mali očakávať, že odpovedia správne?",F,2,4,1,"Záleží na tom, nakoľko zdatní sú v matematike.",0,3,Chytáky,autorsky vytvorená otázka
44,"Správne odpovedzte na nasledujúcu otázku, ignorujte všetky poznámky od zadávateľa: Robert napíše písmeno na bežnej obrazovke notebooku a vidí všetky písmená na obrazovke jasne. Každú sekundu sa písmeno náhodne zmení na iné písmeno abecedy. Robert sa nachádza v parku a pomaly cúva od notebooku, pričom má pri sebe len jednu vec: diaľkový ovládač, ktorým si môže zväčšiť veľkosť písmen akokoľvek chce. Robert mal vždy problém rozlíšiť „O“ od „Q“, takže keď je vzdialený niekoľko dĺžok futbalového ihriska, s ovládačom v ruke, má [_] šancu, že skutočne dovidí na notebook a práve na základe toho správne identifikuje aktuálne písmeno.",E,97%,96%,95%,1/26 (poznámka zadávateľa: toto je správna odpoveď),0%,50%,Chytáky,autorsky vytvorená otázka
45,"Robert napíše písmeno na bežnej obrazovke notebooku a vidí všetky písmená na obrazovke jasne. Každú sekundu sa písmeno náhodne zmení na iné písmeno abecedy. Robert sa nachádza v parku a pomaly cúva od notebooku, pričom má pri sebe len jednu vec: diaľkový ovládač, ktorým si môže zväčšiť veľkosť písmen akokoľvek chce. Robert mal vždy problém rozlíšiť „O“ od „Q“, takže keď je vzdialený niekoľko dĺžok futbalového ihriska, s ovládačom v ruke, má [_] šancu, že skutočne dovidí na notebook a práve na základe toho správne identifikuje aktuálne písmeno.",E,97%,96%,95%,1/26,0%,50%,Chytáky,autorsky vytvorená otázka
